Id,Número De Víctimas,Fecha,Año,Mes,Día,Hora,Cantidad Hora,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Dirección Normalizada,Comuna,Coordenadas XY (CABA),Pos X,Pos Y,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Barrios,Código Día,Día Semana,Franja Horaria
2016-0036,1,2016-03-14,2016,3,14,2024-01-16 00:15:00,0,Herrera Y Aristobulo Del Valle,Calle,Herrera,Si,"Herrera Y Valle, Aristobulo Del",4,Point (107808.84957181 99174.17105826),-58.37813396,-34.63668504,Moto-Pasajeros,Moto,Pasajeros,Pasajero_Acompañante,Masculino,36,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",0,Lunes,Madrugada
2016-0037,1,2016-03-19,2016,3,19,2024-01-16 11:00:00,11,Av. Eva Peron Y Quirno,Avenida,Lafuente Av.,Si,Lafuente Av. Y Quirno,7,Point (100049.60313526 98412.21255444),-58.46275892,-34.64358293,Moto-Moto,Moto,Moto,Conductor,Masculino,20,Flores y Parque Chacabuco.,5,Sábado,Mañana
2016-0038,1,2016-03-21,2016,3,21,2024-01-16 08:06:00,8,Av Gral Paz Colectora Y Zuviria,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Zuviria",8,Point (96926.79887463 94490.76318635),-58.49683458,-34.67892743,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,29,"Villa Soldati, Villa Riachuelo y Villa Lugano.",0,Lunes,Mañana
2016-0039,1,2016-03-23,2016,3,23,2024-01-16 01:50:00,1,Bartolome Mitre Y Av Pueyrredon,Avenida,"Mitre, Bartolome",Si,"Mitre, Bartolome Y Pueyrredon Av.",3,Point (105252.60308563 102264.96028996),-58.40603217,-34.6088396,Moto-Pasajeros,Moto,Pasajeros,Conductor,Masculino,20,Balvanera y San Cristóbal.,2,Miércoles,Madrugada
2016-0041,2,2016-03-29,2016,3,29,2024-01-16 11:00:00,11,Av Directorio Y Rivera Indarte,Avenida,Directorio Av.,Si,Directorio Av. Y Rivera Indarte Av.,7,Point (100232.38564985 99530.25843190),-58.4607655,-34.63350444,Moto-Cargas,Moto,Cargas,Conductor,Masculino,54,Flores y Parque Chacabuco.,1,Martes,Mañana
2016-0041,2,2016-03-29,2016,3,29,2024-01-16 11:00:00,11,Av Directorio Y Rivera Indarte,Avenida,Directorio Av.,Si,Directorio Av. Y Rivera Indarte Av.,7,Point (100232.38564985 99530.25843190),-58.4607655,-34.63350444,Moto-Cargas,Moto,Cargas,Pasajero_Acompañante,Masculino,40,Flores y Parque Chacabuco.,1,Martes,Mañana
2016-0043,1,2016-03-30,2016,3,30,2024-01-16 18:15:00,18,Dellepiane Luis Tte Gral Colectora Y Murguiondo,Avenida,"Dellepiane, Luis, Tte. Gral.",Si,"Dellepiane, Luis, Tte. Gral. Y Murguiondo",8,Point (98623.04338909 94933.06478837),-58.47832463,-34.67494416,Peaton-Cargas,Peaton,Cargas,Peaton,Femenino,56,"Villa Soldati, Villa Riachuelo y Villa Lugano.",2,Miércoles,Noche
2016-0044,1,2016-03-31,2016,3,31,2024-01-16 19:40:00,19,Av Jose Maria Moreno Y Balbastro,Avenida,"Moreno, Jose Maria Av.",Si,"Moreno, Jose Maria Av. Y Balbastro",7,Point (102857.73817324 99148.76714504),-58.43213235,-34.63693953,Multiple,Moto,Multiple,Conductor,Masculino,24,Flores y Parque Chacabuco.,3,Jueves,Noche
2016-0045,1,2016-04-11,2016,4,11,2024-01-16 10:25:00,10,Av Gral Paz Y Av Del Libertador,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Del Libertador Av.",13,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,Moto-Sd,Moto,Sd,Conductor,Masculino,40,"Núñez, Belgrano y Colegiales.",0,Lunes,Mañana
2016-0047,1,2016-04-15,2016,4,15,2024-01-16 05:30:00,5,Lima 1483,Calle,Lima,No,Lima 1483,1,Point (107412.19098904 100391.02557777),-58.38247061,-34.62571878,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,41,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",4,Viernes,Madrugada
2016-0048,1,2016-04-15,2016,4,15,2024-01-16 17:40:00,17,Av. Corrientes Y Av. Dorrego,Avenida,Corrientes Av.,Si,Corrientes Av. Y Dorrego Av.,15,Point (101440.29935254 104167.40204334),-58.44759966,-34.5917024,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Femenino,51,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.",4,Viernes,Tarde
2016-0049,1,2016-04-17,2016,4,17,2024-01-16 00:00:00,0,"Autopista 1 Sur Presidente Arturo Frondizi Km. 0,700",Autopista,Autopista 1 Sur Presidente Arturo Frondizi,No,Autopista 1 Sur Presidente Arturo Frondizi,4,Point (0 0),-58.37714647568196,-34.63657525428238,Sd-Sd,Sd,Sd,Peaton,Masculino,40,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",6,Domingo,Madrugada
2016-0050,1,2016-04-19,2016,4,19,2024-01-16 09:50:00,9,Timoteo Gordillo Y Av Fernandez De La Cruz,Avenida,"Gordillo, Timoteo",Si,"Gordillo, Timoteo Y Fernandez De La Cruz, F., Gral. Av.",8,Point (99106.14718950 93761.32882893),-58.47305463,-34.68550712,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,78,"Villa Soldati, Villa Riachuelo y Villa Lugano.",1,Martes,Mañana
2016-0051,1,2016-04-20,2016,4,20,2024-01-16 04:00:00,4,Av Amancio Alcorta Y Bonavena,Avenida,"Alcorta, Amancio Av.",Si,"Alcorta, Amancio Av. Y Bonavena, Oscar Natalio",4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,Moto-Cargas,Moto,Cargas,Conductor,Masculino,36,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",2,Miércoles,Madrugada
2016-0052,1,2016-04-20,2016,4,20,2024-01-16 20:00:00,20,Autopista Lugones Pk 10000,Autopista,"Lugones, Leopoldo Av.",No,Autopista Lugones Pk 10000,13,Point (0 0),0.0,0.0,Moto-Sd,Moto,Sd,Conductor,Masculino,40,"Núñez, Belgrano y Colegiales.",2,Miércoles,Noche
2016-0053,1,2016-04-22,2016,4,22,2024-01-16 09:30:00,9,Av Triunvirato Y Av Olazabal,Avenida,Triunvirato Av.,Si,Triunvirato Av. Y Olazabal Av.,12,Point (98073.80557770 105955.73972818),-58.4842918,-34.57558053,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,38,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",4,Viernes,Mañana
2016-0054,1,2016-04-23,2016,4,23,2024-01-16 21:00:00,21,Au Luis Dellepiane Y Av Gral Paz,Autopista,Autopista Dellepiane Luis Tte. Gral.,Si,"Autopista Dellepiane Luis Tte. Gral. Y Paz, Gral. Av.",8,Point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,Moto-Moto,Moto,Moto,Conductor,Masculino,30,"Villa Soldati, Villa Riachuelo y Villa Lugano.",5,Sábado,Noche
2016-0055,1,2016-04-25,2016,4,25,2024-01-16 20:30:00,20,Ramon Castilla Y Av Figueroa Alcorta,Avenida,"Castilla, Ramon, Mariscal",Si,"Castilla, Ramon, Mariscal Y Figueroa Alcorta, Pres. Av.",14,Point (105787.74102401 105502.98340149),-58.40021959,-34.57964781,Peaton-Cargas,Peaton,Cargas,Peaton,Masculino,79,Palermo.,0,Lunes,Noche
2016-0056,1,2016-04-26,2016,4,26,2024-01-16 04:45:00,4,Av Luis Maria Campos 30,Avenida,"Campos, Luis M. Av.",No,"Campos, Luis M. Av. 30",14,Point (103094.06446966 105842.29634122),-58.42957885,-34.57660058,Moto-Objeto Fijo,Moto,Objeto Fijo,Conductor,Masculino,26,Palermo.,1,Martes,Madrugada
2016-0058,1,2016-05-04,2016,5,4,2024-01-16 14:00:00,14,Lima 1471,Calle,Lima,No,Lima 1471,1,Point (107411.76356149 100408.31441284),-58.38247542,-34.62556293,Peaton-Moto,Peaton,Moto,Peaton,Femenino,57,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",2,Miércoles,Tarde
2016-0059,1,2016-05-08,2016,5,8,2024-01-16 16:30:00,16,Pasaje Ciudadela Y Lima Oeste,Calle,Ciudadela,Si,Ciudadela Y Lima,1,Point (107434.83290791 100217.70308007),-58.38222219,-34.62728101,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,37,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",6,Domingo,Tarde
2016-0064,1,2016-05-14,2016,5,14,2024-01-16 18:11:00,18,Av Juan B Justo Y Av Carrasco,Avenida,"Justo, Juan B. Av.",Si,"Justo, Juan B. Av. Y Carrasco Av.",10,Point (97106.70264812 99970.19547024),-58.49485242,-34.62953445,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,20,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",5,Sábado,Noche
2016-0065,1,2016-05-20,2016,5,20,2024-01-16 14:40:00,14,Av Gaona Y Espinosa,Avenida,Gaona Av.,Si,Gaona Av. Y Espinosa,6,Point (101010.75965434 102062.18185970),-58.45227946,-34.61068024,Peaton-Auto,Peaton,Auto,Peaton,Masculino,20,Caballito.,4,Viernes,Tarde
